placeDcid,placeName,Date:RetailDrugDistribution_DrugDistribution_TincuredOpium,Value:RetailDrugDistribution_DrugDistribution_TincuredOpium,Source:RetailDrugDistribution_DrugDistribution_TincuredOpium
geoId/04013,Maricopa County,2011-01,18.38,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/04013,Maricopa County,2011-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/04013,Maricopa County,2011-07,13.13,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/04013,Maricopa County,2011-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/04019,Pima County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/04019,Pima County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/04019,Pima County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/04019,Pima County,2016-10,9.35,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/04021,Pinal County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/04021,Pinal County,2016-04,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/04021,Pinal County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/04021,Pinal County,2016-10,0.11,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06001,Alameda County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06001,Alameda County,2016-04,6.04,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06001,Alameda County,2016-07,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06001,Alameda County,2016-10,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06013,Contra Costa County,2016-01,0,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
geoId/06013,Contra Costa County,2016-04,5.48,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/
