drug,state_code,state_name,zip_code,code,q1,q2,q3,q4
1100 - AMPHETAMINE,AK,ALASKA,995,995,5097.87,4776.84,5091.24,5046.39
1100 - AMPHETAMINE,AK,ALASKA,996,996,1787.55,1811.43,2013.64,2011.10
1100 - AMPHETAMINE,AK,ALASKA,997,997,1189.97,1245.75,1317.81,1204.19
1100 - AMPHETAMINE,AK,ALASKA,998,998,515.12,518.47,610.39,590.51
1100 - AMPHETAMINE,AK,ALASKA,999,999,185.87,171.04,184.97,181.77
1100 - AMPHETAMINE,AL,ALABAMA,350,350,18752.35,18458.78,18964.73,19684.57
1100 - AMPHETAMINE,AL,ALABAMA,351,351,9619.61,9678.19,9915.98,10014.38
1100 - AMPHETAMINE,AL,ALABAMA,352,352,20432.76,19603.33,20020.31,21000.96
1100 - AMPHETAMINE,AL,ALABAMA,354,354,8417.72,7406.55,7851.25,8229.32
1100 - AMPHETAMINE,AL,ALABAMA,355,355,3367.90,3651.08,3609.64,3820.11
1100 - AMPHETAMINE,AL,ALABAMA,356,356,10976.73,10688.37,11577.87,11618.55
1100 - AMPHETAMINE,AL,ALABAMA,357,357,5417.90,5092.13,5480.09,5729.03
1100 - AMPHETAMINE,AL,ALABAMA,358,358,6287.92,5945.85,6496.66,6640.31
1100 - AMPHETAMINE,AL,ALABAMA,359,359,5628.29,5607.45,5760.31,5946.53
1100 - AMPHETAMINE,AL,ALABAMA,360,360,6791.25,6645.36,6725.17,6922.19
1100 - AMPHETAMINE,AL,ALABAMA,361,361,4992.55,4788.86,4728.93,4938.70
1100 - AMPHETAMINE,AL,ALABAMA,362,362,2724.06,2592.14,2622.15,2777.01
1100 - AMPHETAMINE,AL,ALABAMA,363,363,5106.50,4918.93,5352.84,5100.30
1100 - AMPHETAMINE,AL,ALABAMA,364,364,1486.20,1407.05,1469.44,1544.48
1100 - AMPHETAMINE,AL,ALABAMA,365,365,12329.89,12484.30,12607.44,13151.47
1100 - AMPHETAMINE,AL,ALABAMA,366,366,8256.55,7624.01,8040.81,8434.99
1100 - AMPHETAMINE,AL,ALABAMA,367,367,1549.27,1455.54,1485.99,1578.22
1100 - AMPHETAMINE,AL,ALABAMA,368,368,6655.54,6249.50,7033.49,7116.24
