STATE NAME,1ST QUARTER,2ND QUARTER,3RD QUARTER,4TH QUARTER,TOTAL GRAMS
ALABAMA,714.18,723.34,721.99,702.83,2862.34
ALASKA,488.87,437.57,439.80,397.31,1763.56
AMERICAN SAMOA,529.07,591.32,622.44,644.67,2387.49
ARIZONA,539.01,516.27,520.90,520.48,2096.66
ARKANSAS,1335.79,1313.42,1296.07,1317.73,5263.01
CALIFORNIA,585.34,568.39,572.96,555.68,2282.38
COLORADO,225.56,205.96,203.22,207.94,842.67
CONNECTICUT,336.92,344.86,361.80,344.49,1388.07
DELAWARE,483.60,514.80,505.37,487.78,1991.56
DISTRICT OF COLUMBIA,748.52,818.97,773.73,781.52,3122.75
FLORIDA,526.57,516.58,507.64,504.12,2054.92
GEORGIA,618.12,622.12,634.79,608.25,2483.27
GUAM,598.48,594.35,460.44,477.09,2130.36
HAWAII,486.20,479.32,507.19,464.19,1936.89
IDAHO,435.78,449.41,454.18,437.80,1777.16
ILLINOIS,708.33,704.14,702.19,699.78,2814.44
INDIANA,335.87,331.92,351.31,331.54,1350.63
IOWA,286.81,294.53,282.42,291.89,1155.65
KANSAS,603.69,685.36,627.35,623.66,2540.07
KENTUCKY,569.50,568.40,557.91,543.22,2239.02
LOUISIANA,589.01,560.38,548.72,519.17,2217.28
MAINE,413.00,411.09,462.12,399.65,1685.87
MARYLAND,538.87,546.67,555.91,525.38,2166.83
MASSACHUSETTS,324.83,354.43,353.82,341.46,1374.55
MICHIGAN,1266.91,1266.40,1263.58,1225.96,5022.85
MINNESOTA,324.82,314.12,318.81,322.71,1280.46
MISSISSIPPI,504.83,509.77,472.89,482.06,1969.56
MISSOURI,735.00,741.45,736.24,731.92,2944.61
MONTANA,519.14,487.83,527.54,512.94,2047.45
NEBRASKA,317.85,315.79,317.83,304.59,1256.06
NEVADA,361.14,390.76,375.71,381.49,1509.10
NEW HAMPSHIRE,329.36,320.88,372.20,338.61,1361.05
NEW JERSEY,495.49,493.02,494.88,481.28,1964.66
NEW MEXICO,507.73,514.92,501.54,496.75,2020.94
NEW YORK,402.64,388.97,378.98,366.86,1537.44
NORTH CAROLINA,238.02,249.52,246.93,243.36,977.82
NORTH DAKOTA,381.54,404.00,398.48,390.19,1574.20
OHIO,350.03,340.12,365.25,362.24,1417.64
OKLAHOMA,1606.80,1662.76,1635.83,1635.11,6540.50
OREGON,472.49,451.33,459.18,453.71,1836.70
PENNSYLVANIA,490.85,486.29,496.99,486.87,1961.00
PUERTO RICO,233.33,245.10,234.84,239.45,952.71
RHODE ISLAND,254.45,276.60,274.43,262.60,1068.07
SOUTH CAROLINA,797.48,767.97,795.96,768.36,3129.78
SOUTH DAKOTA,379.21,355.86,363.40,362.84,1461.30
TENNESSEE,540.07,566.42,528.25,559.12,2193.86
TEXAS,1958.93,1965.79,2003.08,1942.53,7870.33
UTAH,298.46,291.23,281.24,284.00,1154.92
VERMONT,310.31,302.07,298.65,294.09,1205.12
VIRGIN ISLANDS,613.73,707.57,746.88,414.65,2482.83
VIRGINIA,332.00,360.90,357.68,336.90,1387.47
WASHINGTON,431.58,435.08,432.55,425.21,1724.42
WEST VIRGINIA,1623.30,1628.73,1692.05,1699.88,6643.97
WISCONSIN,445.54,432.07,434.87,418.56,1731.04
WYOMING,346.44,372.42,371.68,351.86,1442.40
